"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Anthony Davis","NOR","PF,C","29.6","11.6","2.3","2.5","1.7",".530",".814","0.7","78","37.6","2.3"
"James Harden","HOU","PG,SG","28.7","6.5","7.7","0.6","1.7",".440",".856","3.3","80","35.6","4.8"
"LeBron James","LAL","SF,PF","27.8","8.5","7.4","0.8","1.4",".557",".728","1.7","79","34.6","4.3"
"Giannis Antetokounmpo","MIL","SF,PF","27.7","10.2","5.6","1.6","1.6",".544",".763","0.6","80","37.5","2.9"
"Russell Westbrook","OKC","PG","27.0","10.2","9.8","0.3","1.7",".443",".788","1.6","75","34.5","4.9"
"Kawhi Leonard","TOR","SG,SF","26.6","6.3","3.6","0.8","1.7",".488",".887","2.5","74","34.7","2.1"
"Damian Lillard","POR","PG","26.0","4.9","6.0","0.3","1.0",".437",".908","2.9","80","37.2","2.7"
"Kevin Durant","GSW","SF,PF","25.6","7.4","4.8","1.6","0.9",".520",".886","2.3","79","34.2","2.8"
"Stephen Curry","GSW","PG,SG","25.5","4.9","5.9","0.2","1.7",".482",".911","4.2","78","32.9","3.1"
"Devin Booker","PHO","PG,SG","24.7","3.8","5.4","0.3","0.9",".434",".856","2.8","76","35.2","3.4"
"Donovan Mitchell","UTH","PG,SG","23.8","4.1","4.2","0.4","1.5",".441",".822","2.6","80","35.5","3.0"
"Joel Embiid","PHI","PF,C ","23.7","11.1","3.1","1.8","0.7",".482",".775","1.2","73","33.3","3.8"
"Karl-Anthony Towns","MIN","C ","23.4","12.4","2.4","1.4","0.8",".543",".846","1.4","82","36.4","2.2"
"DeMar DeRozan","SAS","SG,SF","23.4","4.8","4.9","0.2","1.2",".444",".836","1.0","81","35.2","2.3"
"Kyrie Irving","BOS","PG,SG","23.3","3.5","5.3","0.3","1.2",".475",".897","2.4","77","33.1","2.3"
"Bradley Beal","WAS","SG","23.0","3.8","4.1","0.4","1.1",".474",".805","2.7","80","35.9","2.3"
"Kemba Walker","CHA","PG","22.5","3.3","5.4","0.3","1.2",".437",".857","3.0","81","34.6","2.3"
"Jimmy Butler","PHI","SG,SF","22.4","5.5","4.9","0.4","2.0",".472",".857","1.4","80","36.7","1.9"
"Victor Oladipo","IND","PG,SG ","22.1","5.2","4.1","0.6","2.2",".470",".791","2.3","81","35.7","2.8"
"Paul George","OKC","SG,SF","22.0","6.3","3.2","0.5","1.9",".439",".847","2.8","81","36.4","2.8"
"CJ McCollum","POR","PG,SG","21.6","4.1","3.3","0.5","1.0",".456",".871","2.3","81","36.9","1.9"
"John Wall","WAS","PG ","21.2","4.1","10.3","0.8","1.7",".441",".779","1.3","78","35.5","3.9"
"Blake Griffin","DET","PF,C","20.8","7.9","4.7","0.4","0.8",".448",".777","1.5","70","34.0","2.7"
"LaMarcus Aldridge","SAS","PF,C ","20.4","8.9","2.2","1.3","0.7",".492",".832","0.4","80","34.4","1.6"
