pick,player,position
1,Russell Westbrook,PG
2,James Harden,SG
3,Kevin Durant,SF
4,Giannis Antetokounmpo,SF
5,Anthony Davis,PF
6,Karl-Anthony Towns,C
7,Stephen Curry,PG
8,Seth Curry,SG
9,LeBron James,SF
10,DeMarcus Cousins,C
11,Nikola Jokic,PF
12,Kawhi Leonard,SF
13,Chris Paul,PG
14,LaMarcus Aldridge,PF
15,John Wall,PG
16,Jimmy Butler,SG
17,Rudy Gobert,C
18,Kyrie Irving,PG
19,Klay Thompson,SG
20,Draymond Green,SF
21,Kristaps Porzingis,PF
22,DeMar DeRozan,SG
23,Blake Griffin,PF
24,Hassan Whiteside,PF
25,Damian Lillard,PG
26,Paul George,SF
27,Joel Embiid,C
28,Eric Gordon,SG
29,CJ McCollum,PG
30,DeAndre Jordan,C
31,Myles Turner,PF
32,Kyle Lowry,PG
33,Andre Iguodala,SF
34,D'Angelo Russell,PG
35,Paul Millsap,PF
36,Kemba Walker,PG
37,Bradley Beal,SG
38,Kevin Love,PF
39,Carmelo Anthony,SF
40,Derrick Rose,PG
41,Kyle Kuzma,PF
42,Jeff Teague,PG
43,Khris Middleton,SF
44,Marc Gasol,C
45,Al Horford,C
46,Andrew Wiggins,SG
47,Otto Porter Jr.,SF
48,Patrick Beverley,PG
49,Tristan Thompson,PF
50,Andre Drummond,C
51,Mike Conley,PG
52,Jonas Valanciunas,C
53,Clint Capela,C
54,Nikola Vucevic,C
55,Jusuf Nurkic,C
56,Ricky Rubio,PG
57,Eric Bledsoe,PG
58,Ben Simmons,PF
59,Brook Lopez,C
60,Devin Booker,SG
61,Pau Gasol,PF
62,Danilo Gallinari,SF
63,Reggie Jackson,PG
64,Goran Dragic,PG
65,Robert Covington,PF
66,Jrue Holiday,PG
67,Victor Oladipo,SG
68,Serge Ibaka,PF
69,Dwyane Wade,SG
70,Julius Randle,PF
71,Dwight Howard,C
72,Dario Saric,SF
73,Dirk Nowitzki,PF
74,Dennis Schroder,PG
75,Willy Hernangomez,C
76,Gary Harris,SG
77,Lonzo Ball,PG
78,Rodney Hood,SG
79,Zach Randolph,PF
80,Brandon Ingram,PF
81,JR Smith,SG
82,Enes Kanter,C
83,Buddy Hield,SG
84,Gorgui Dieng,C
85,Trevor Ariza,SF
86,Isaiah Thomas,PG
87,Joe Ingles,PF
88,Jamal Crawford,SG
89,Dennis Smith Jr.,PG
90,Greg Monroe,PF
91,George Hill,PG
92,Nene,PF
93,Jae Crowder,SF
94,Harrison Barnes,SF
95,Tobias Harris,PF
96,Aaron Gordon,PF
97,Elfrid Payton,PG
98,Rudy Gay,SF
99,Steven Adams,C
100,Jayson Tatum,SF
101,Jaylen Brown,PF
102,Patty Mills,PG
103,Terrence Ross,SG
104,Wilson Chandler,SF
105,TJ Warren,SF
106,Trevor Booker,PF
107,Malcolm Brogdon,SG
108,Rajon Rondo,PG
109,Joe Johnson,SG
110,Avery Bradley,SG
111,Evan Fournier,SG
112,Kenneth Faried,PF
113,DeMarre Carroll,SF
114,James Johnson,SF
115,Marcin Gortat,C
116,Michael Kidd-Gilchrist,SF
117,Kentavious Caldwell-Pope,SG
118,Markelle Fultz,PG
119,Ryan Anderson,PF
120,Nick Young,SG
121,Robin Lopez,C
122,Zaza Pachulia,C
123,John Collins,PF
124,Marquese Chriss,PF
125,Nerlens Noel,C
126,Darren Collison,PG
127,Thaddeus Young,SF
128,Lou Williams,PG
129,Tyson Chandler,C
130,Rondae Hollis-Jefferson,SF
