"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"James Harden","HOU","PG,SG","28.7","6.9","8.1","0.6","1.7",".437",".858","3.2","82","36.0","4.9"
"Russell Westbrook","OKC","PG","28.5","10.0","9.9","0.3","1.8",".441",".816","1.9","81","34.5","5.0"
"Anthony Davis","NOR","PF,C","28.4","11.2","2.3","2.3","1.5",".526",".808","0.8","76","36.0","2.3"
"LeBron James","LAL","SF,PF","26.7","8.3","8.2","0.8","1.4",".545",".704","1.5","78","35.5","4.3"
"Stephen Curry","GSW","PG,SG","25.4","4.8","6.0","0.2","1.8",".479",".910","4.2","80","33.0","3.1"
"Kevin Durant","GSW","SF,PF","25.3","7.8","4.6","1.5","0.9",".521",".883","2.4","76","34.0","2.7"
"Damian Lillard","POR","PG","25.3","4.9","6.1","0.3","1.0",".432",".899","2.9","79","36.0","2.7"
"Giannis Antetokounmpo","MIL","SF,PF","24.6","9.0","5.1","1.6","1.6",".528",".757","0.6","82","36.0","2.8"
"Kawhi Leonard","TOR","SG,SF","24.5","6.3","3.6","0.8","1.6",".483",".877","2.4","74","33.3","2.1"
"DeMarcus Cousins","GSW","PF,C","23.5","11.1","4.1","1.6","1.4",".472",".761","1.7","64","35.0","3.6"
"Kyrie Irving","BOS","PG,SG","23.4","3.4","5.4","0.4","1.2",".471",".900","2.4","76","34.0","2.4"
"Karl-Anthony Towns","MIN","C ","23.3","12.2","2.5","1.4","0.8",".541",".836","1.4","82","37.0","2.4"
"Devin Booker","PHO","PG,SG","23.2","3.4","4.9","0.3","0.9",".430",".846","2.4","80","35.0","3.2"
"DeMar DeRozan","SAS","SG,SF","23.0","5.0","4.5","0.2","1.1",".439",".843","0.6","79","35.5","2.2"
"Jimmy Butler","PHI","SG,SF","22.6","5.7","4.8","0.4","1.9",".467",".855","1.3","77","37.5","1.9"
"Kemba Walker","CHA","PG","22.4","3.5","5.3","0.3","1.3",".434",".853","2.9","80","35.0","2.2"
"Paul George","OKC","SG,SF","22.2","6.5","3.3","0.4","1.6",".442",".870","2.6","78","35.0","2.9"
"Bradley Beal","WAS","SG","22.1","3.6","3.7","0.3","1.1",".467",".815","2.6","77","34.5","2.1"
"Joel Embiid","PHI","PF,C ","22.0","9.5","2.5","2.2","0.8",".470",".774","1.4","66","28.0","3.8"
"John Wall","WAS","PG ","21.2","4.3","10.5","0.7","1.8",".433",".799","1.4","80","36.5","4.0"
"CJ McCollum","POR","PG,SG","21.1","3.9","3.5","0.5","1.0",".458",".878","2.4","80","35.0","2.0"
"Andrew Wiggins","MIN","SG,SF","20.7","4.1","2.2","0.5","1.1",".453",".743","1.3","82","37.0","2.0"
"Blake Griffin","DET","PF,C","20.6","8.2","4.9","0.5","0.9",".471",".762","1.0","68","34.0","2.4"
"Kyle Lowry","TOR","PG","20.3","5.1","7.2","0.3","1.4",".444",".821","3.2","77","37.0","2.9"
"Klay Thompson","GSW","SG,SF","20.2","3.6","2.1","0.5","0.8",".467",".853","3.3","80","33.0","1.7"
"Gordon Hayward","BOS","SG,SF ","20.0","5.2","3.6","0.3","1.0",".458",".849","2.1","78","33.5","2.0"
"Mike Conley","MEM","PG","19.4","3.5","5.8","0.3","1.3",".447",".850","2.3","76","33.0","2.4"
"Kristaps Porzingis","DAL","PF,C ","19.1","7.4","1.6","1.9","0.8",".441",".800","1.8","58","33.0","1.9"
"Eric Bledsoe","MIL","PG,SG","18.8","4.4","5.7","0.5","1.6",".461",".826","1.5","75","33.0","3.0"
"Victor Oladipo","IND","PG,SG ","18.7","4.6","3.7","0.5","1.8",".453",".792","2.0","76","34.0","2.3"
"Isaiah Thomas","DEN","PG","18.4","2.2","4.3","0.1","0.7",".450",".893","2.0","59","32.0","2.2"
"Kevin Love","CLE","PF,C","18.3","10.4","2.2","0.5","0.8",".414",".858","2.5","77","31.5","2.0"
"Chris Paul","HOU","PG","18.2","5.0","8.3","0.2","1.9",".462",".898","2.2","74","31.0","2.4"
"Marc Gasol","TOR","C","18.0","7.3","4.1","1.4","0.9",".452",".830","1.4","76","34.0","2.4"
"Harrison Barnes","SAC","SF,PF","17.9","5.3","1.8","0.2","0.8",".462",".832","1.5","79","35.0","1.4"
"Goran Dragic","MIA","PG,SG ","17.5","3.7","5.1","0.2","1.0",".468",".781","1.6","78","32.5","2.6"
"Lou Williams","LAC","PG,SG","17.4","2.4","3.3","0.3","1.0",".426",".870","2.1","80","25.0","2.0"
"LaMarcus Aldridge","SAS","PF,C ","17.3","8.3","1.9","1.2","0.7",".476",".825","0.3","77","32.5","1.3"
"Khris Middleton","MIL","SG,SF","17.3","4.8","3.6","0.2","1.5",".460",".878","1.9","77","35.0","2.1"
"Jrue Holiday","NOR","PG,SG","17.0","3.9","6.9","0.6","1.6",".468",".775","1.5","75","33.0","2.8"
"Evan Fournier","ORL","SG,SF","16.8","3.0","3.1","0.1","1.0",".442",".830","2.2","77","32.0","1.9"
"Nikola Jokic","DEN","PF,C","16.8","10.4","5.1","0.8","1.0",".542",".830","1.2","79","30.0","2.5"
"Danilo Gallinari","LAC","SF,PF","16.5","5.1","1.9","0.4","0.7",".420",".889","2.0","65","33.5","1.2"
"Paul Millsap","DEN","PF,C","16.3","7.7","3.3","1.0","1.3",".454",".757","1.4","78","32.0","2.2"
"D'Angelo Russell","BKN","PG,SG","16.3","3.9","4.8","0.3","1.1",".411",".768","2.2","79","30.0","3.0"
