player_name,player_id,season_id,gp,age,min,fgm,fga,fg3m,ftm,fta,oreb,dreb,ast,tov,stl,blk,pts
Dirk Nowitzki,1717,1998-99,47.0,21.0,959.118,136.0,335.0,14.0,99.0,128.0,41.0,121.0,47.0,73.0,29.0,27.0,385.0
Dirk Nowitzki,1717,1999-00,82.0,22.0,2940.94,515.0,1118.0,116.0,289.0,348.0,102.0,430.0,203.0,141.0,63.0,68.0,1435.0
Dirk Nowitzki,1717,2000-01,82.0,23.0,3122.75,591.0,1247.0,151.0,451.0,538.0,119.0,635.0,173.0,156.0,79.0,101.0,1784.0
Dirk Nowitzki,1717,2001-02,76.0,24.0,2891.01,600.0,1258.0,139.0,440.0,516.0,120.0,635.0,186.0,145.0,83.0,77.0,1779.0
Dirk Nowitzki,1717,2002-03,80.0,25.0,3121.16,690.0,1489.0,148.0,483.0,548.0,81.0,710.0,239.0,152.0,111.0,82.0,2011.0
Dirk Nowitzki,1717,2003-04,77.0,26.0,2919.84,605.0,1310.0,99.0,371.0,423.0,90.0,580.0,207.0,135.0,92.0,104.0,1680.0
Dirk Nowitzki,1717,2004-05,78.0,27.0,3028.19,663.0,1445.0,91.0,615.0,708.0,96.0,661.0,240.0,176.0,97.0,119.0,2032.0
Dirk Nowitzki,1717,2005-06,81.0,28.0,3088.98,751.0,1564.0,110.0,539.0,598.0,115.0,613.0,226.0,156.0,58.0,83.0,2151.0
Dirk Nowitzki,1717,2006-07,78.0,29.0,2820.65,673.0,1341.0,72.0,498.0,551.0,122.0,571.0,263.0,167.0,52.0,62.0,1916.0
Dirk Nowitzki,1717,2007-08,77.0,30.0,2768.93,630.0,1314.0,79.0,478.0,544.0,95.0,564.0,266.0,160.0,51.0,71.0,1817.0
Dirk Nowitzki,1717,2008-09,81.0,31.0,3050.59,774.0,1616.0,61.0,485.0,545.0,88.0,593.0,197.0,157.0,61.0,63.0,2094.0
Dirk Nowitzki,1717,2009-10,81.0,32.0,3038.59,720.0,1496.0,51.0,536.0,586.0,80.0,540.0,218.0,149.0,70.0,79.0,2027.0
Dirk Nowitzki,1717,2010-11,73.0,33.0,2503.99,610.0,1179.0,66.0,395.0,443.0,50.0,463.0,190.0,137.0,38.0,47.0,1681.0
Dirk Nowitzki,1717,2011-12,62.0,34.0,2079.17,473.0,1034.0,78.0,318.0,355.0,46.0,372.0,136.0,117.0,42.0,30.0,1342.0
Dirk Nowitzki,1717,2012-13,53.0,35.0,1661.47,343.0,728.0,65.0,166.0,193.0,37.0,326.0,132.0,70.0,38.0,37.0,917.0
Dirk Nowitzki,1717,2013-14,80.0,36.0,2628.03,633.0,1273.0,131.0,338.0,376.0,40.0,458.0,216.0,117.0,73.0,45.0,1735.0
Dirk Nowitzki,1717,2014-15,77.0,37.0,2281.63,487.0,1062.0,104.0,255.0,289.0,44.0,413.0,143.0,82.0,39.0,33.0,1333.0
Dirk Nowitzki,1717,2015-16,75.0,38.0,2363.49,498.0,1112.0,126.0,250.0,280.0,52.0,437.0,132.0,84.0,52.0,52.0,1372.0
Dirk Nowitzki,1717,2016-17,54.0,38.0,1424.23,296.0,678.0,79.0,98.0,112.0,23.0,330.0,82.0,51.0,30.0,38.0,769.0
Paul Pierce,1718,1998-99,48.0,21.0,1630.37,284.0,647.0,84.0,139.0,195.0,117.0,192.0,115.0,113.0,82.0,50.0,791.0
Paul Pierce,1718,1999-00,73.0,22.0,2585.25,486.0,1099.0,96.0,359.0,450.0,83.0,313.0,221.0,178.0,152.0,62.0,1427.0
