player_name,player_id,season_id,pts,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,ast,stl,tov,blk,fantasy_pts
LeBron James,2544,2018-19,26.96,37.53,9.93,18.99,1.51,4.28,5.58,7.59,1.11,6.45,6.98,1.49,3.5,0.76,29.17
Russell Westbrook,201566,2018-19,26.46,36.79,9.46,19.4,1.61,4.61,5.93,7.69,1.14,6.15,8.09,1.6,3.84,0.5,28.43
Giannis Antetokounmpo,203507,2018-19,25.86,36.7,9.63,19.32,0.65,2.0,5.95,7.78,2.17,7.67,4.16,1.4,2.86,1.49,28.36
Anthony Davis,203076,2018-19,24.99,35.26,9.41,18.02,0.44,1.4,5.72,7.45,2.29,7.81,2.28,1.15,2.17,1.95,27.98
James Harden,201935,2018-19,27.43,37.28,8.74,19.33,2.44,6.92,7.52,8.99,0.89,5.17,6.77,1.56,3.84,0.55,26.48
DeMarcus Cousins,202326,2018-19,26.47,38.35,9.12,19.57,1.74,4.98,6.5,8.54,1.28,6.45,5.73,1.57,3.49,0.85,26.38
Kevin Durant,201142,2018-19,25.89,36.27,8.97,19.11,2.18,5.87,5.78,6.74,0.82,5.64,5.29,1.09,2.82,0.9,25.71
Joel Embiid,203954,2018-19,21.82,35.81,7.87,16.33,0.42,1.22,5.68,7.17,2.17,7.09,2.71,0.82,2.52,1.46,23.61
Stephen Curry,201939,2018-19,24.22,36.92,8.24,18.12,2.96,7.3,4.79,5.52,0.87,3.67,5.61,1.42,2.87,0.29,22.59
Karl-Anthony Towns,1626157,2018-19,19.36,35.48,7.42,15.48,1.08,2.96,3.38,4.49,2.12,7.14,2.79,1.0,2.03,1.14,22.33
Andre Drummond,203083,2018-19,15.57,33.34,6.23,12.18,0.08,0.31,3.04,4.89,3.35,7.74,2.39,1.09,2.01,1.59,21.93
Dwight Howard,2730,2018-19,17.83,33.34,6.67,12.9,0.01,0.11,4.41,6.44,2.58,6.85,2.44,0.75,2.25,1.86,21.82
LaMarcus Aldridge,200746,2018-19,20.18,34.73,8.11,16.59,0.25,0.84,3.68,4.5,2.25,6.21,2.3,0.74,1.86,1.15,21.67
Devin Booker,1626164,2018-19,23.94,36.56,8.26,19.06,2.16,6.15,5.26,6.23,0.84,4.05,5.43,1.05,2.58,0.33,21.28
Damian Lillard,203081,2018-19,23.96,36.34,8.0,18.62,2.12,6.11,5.84,6.93,0.78,3.46,5.52,1.16,2.84,0.41,20.72
John Wall,202322,2018-19,18.24,36.6,6.57,14.56,1.1,3.26,4.03,5.04,0.64,3.21,8.81,1.39,3.09,0.29,20.48
Jimmy Butler,202710,2018-19,19.86,36.46,6.68,14.92,0.9,2.69,5.6,6.84,1.22,4.09,4.45,1.72,2.12,0.49,20.24
Rudy Gobert,203497,2018-19,13.6,33.84,5.09,9.68,0.0,0.02,3.41,5.0,3.01,7.38,1.07,0.64,1.97,2.61,20.16
Hassan Whiteside,202355,2018-19,15.11,32.03,6.05,11.37,0.0,0.03,3.03,4.11,2.75,6.15,1.73,0.72,1.75,1.51,19.82
Clint Capela,203991,2018-19,14.2,31.77,5.68,10.61,0.0,0.03,2.83,4.16,2.86,6.88,1.44,0.61,1.93,1.81,19.6
Victor Oladipo,203506,2018-19,20.34,35.47,7.13,16.33,2.25,5.89,3.83,4.66,0.78,3.81,5.21,1.54,2.48,0.33,19.5
Kemba Walker,202689,2018-19,21.47,35.59,7.51,17.11,2.34,6.23,4.12,4.81,0.6,3.32,5.26,1.01,2.32,0.25,19.29
Khris Middleton,203114,2018-19,19.52,35.61,7.02,15.56,1.66,4.52,3.81,4.65,0.77,3.87,4.82,1.35,2.25,0.39,19.08
Nikola Jokic,203999,2018-19,15.07,34.29,5.62,12.29,0.89,2.74,2.9,3.98,1.8,6.29,3.51,1.22,2.24,1.04,18.94
Kyrie Irving,202681,2018-19,20.8,35.38,7.62,17.08,2.01,5.39,3.6,4.27,0.73,3.2,5.2,1.05,2.24,0.24,18.85
Lou Williams,101150,2018-19,21.79,34.38,7.4,16.53,1.91,5.23,5.08,5.96,0.64,2.53,4.79,1.06,2.45,0.19,18.55
Kevin Love,201567,2018-19,16.01,31.07,5.54,12.32,1.68,4.41,3.29,3.96,1.79,6.53,1.84,0.75,1.63,0.61,18.45
Chris Paul,101108,2018-19,17.44,34.49,6.08,14.11,1.94,5.38,3.34,4.02,0.6,3.09,6.56,1.6,2.56,0.29,18.32
Draymond Green,203110,2018-19,11.51,32.67,4.23,9.57,1.07,3.2,1.99,2.66,1.2,5.47,6.34,1.51,2.64,0.83,18.21
Bradley Beal,203078,2018-19,19.78,35.18,7.26,16.34,1.85,5.09,3.44,4.09,0.74,3.12,4.7,1.08,2.14,0.29,17.84
Harrison Barnes,203084,2018-19,17.99,33.36,6.76,15.03,1.5,4.02,2.94,3.51,1.08,5.51,2.08,0.91,1.42,0.5,17.81
Dennis Schroder,203471,2018-19,18.97,33.0,7.0,15.42,1.18,3.32,3.81,4.61,0.66,2.7,5.93,1.04,2.47,0.17,17.79
DeMar DeRozan,201942,2018-19,20.98,34.63,7.23,16.35,1.11,3.26,5.4,6.51,0.83,3.31,3.59,1.0,2.09,0.25,17.64
Jrue Holiday,201950,2018-19,16.8,34.69,6.57,14.37,1.29,3.41,2.34,2.88,0.85,3.36,5.62,1.34,2.46,0.35,17.51
Paul George,202331,2018-19,18.15,34.59,6.32,14.99,2.39,6.26,3.14,3.9,0.85,3.94,4.35,1.3,2.24,0.39,17.32
DeAndre Jordan,201599,2018-19,9.77,29.19,3.86,6.92,0.0,0.02,2.06,3.37,3.18,6.96,1.4,0.62,1.68,1.25,17.14
Steven Adams,203500,2018-19,12.84,31.44,5.29,10.43,0.0,0.03,2.25,3.61,3.54,5.53,1.26,0.82,1.53,1.17,17.12
Blake Griffin,201933,2018-19,19.34,34.17,6.93,16.38,1.5,4.28,4.01,5.01,0.8,3.91,4.19,0.98,2.18,0.38,16.98
Marc Gasol,201188,2018-19,14.72,32.62,5.53,12.6,0.85,2.65,2.82,3.81,1.48,5.53,3.48,0.86,2.26,1.07,16.81
Aaron Gordon,203932,2018-19,16.06,33.94,5.96,13.51,1.4,3.96,2.8,3.61,1.62,5.13,1.99,0.91,1.58,0.71,16.49
Pau Gasol,2200,2018-19,11.63,27.24,4.59,9.56,0.55,1.49,1.91,2.58,1.83,6.21,2.37,0.56,1.61,1.12,16.46
CJ McCollum,203468,2018-19,19.37,34.72,7.33,16.43,2.31,5.8,2.42,2.85,0.76,3.36,2.76,0.89,1.69,0.43,16.36
Nikola Vucevic,202696,2018-19,13.27,30.27,5.28,11.46,1.09,3.16,1.67,2.22,1.33,5.15,2.84,0.76,1.49,1.15,16.27
Eric Bledsoe,202339,2018-19,15.82,32.95,5.6,12.96,1.43,3.89,3.2,3.82,0.56,3.01,5.19,1.37,2.12,0.36,16.2
Jusuf Nurkic,203994,2018-19,12.35,28.1,4.98,10.04,0.0,0.05,2.4,3.36,2.27,5.27,1.51,0.74,1.48,1.46,16.1
Rondae Hollis-Jefferson,1626178,2018-19,14.19,31.76,5.43,11.29,0.24,0.74,3.12,4.29,1.72,4.72,2.44,1.09,1.94,0.87,16.06
Kris Dunn,1627739,2018-19,13.9,30.54,5.39,11.98,0.95,2.73,2.15,2.63,0.54,2.82,6.07,1.35,2.14,0.36,15.83
Paul Millsap,200794,2018-19,15.3,31.16,5.87,12.84,1.0,3.01,2.5,3.36,1.4,4.86,1.82,0.84,1.68,1.02,15.73
TJ Warren,203933,2018-19,16.28,32.02,6.52,13.99,0.4,1.27,2.83,3.59,1.61,4.25,1.95,0.73,1.66,0.58,15.51
Al Horford,201143,2018-19,12.34,30.25,4.86,10.36,1.13,3.08,1.47,1.93,1.22,4.58,3.25,0.65,1.61,1.03,15.5
Klay Thompson,202691,2018-19,18.06,32.8,6.65,14.86,2.49,6.08,2.28,2.73,0.52,3.06,2.53,0.87,1.58,0.4,15.21
Willie Cauley-Stein,1626161,2018-19,11.5,30.1,4.88,10.14,0.06,0.23,1.65,2.41,1.72,5.57,2.03,0.98,1.51,0.86,15.14
Andrew Wiggins,203952,2018-19,15.88,32.16,5.99,13.26,1.34,3.56,2.63,3.28,1.11,3.89,2.34,0.92,1.6,0.4,15.01
Jeff Teague,201952,2018-19,13.78,32.3,4.92,11.4,1.15,3.31,2.83,3.33,0.4,2.5,6.23,1.21,2.58,0.28,14.83
Elfrid Payton,203901,2018-19,13.7,30.85,5.31,12.05,0.73,2.25,2.35,3.08,0.86,3.11,5.3,1.23,2.28,0.32,14.78
Myles Turner,1626167,2018-19,12.97,28.62,5.0,10.62,0.81,2.3,2.17,2.92,1.59,4.53,1.27,0.59,1.28,1.45,14.76
Derrick Favors,202324,2018-19,11.51,27.96,4.6,9.21,0.16,0.5,2.09,2.96,2.02,4.6,1.49,0.85,1.38,1.15,14.75
Domantas Sabonis,1627734,2018-19,12.81,27.99,5.16,10.68,0.03,0.18,2.51,3.23,2.36,4.84,1.31,0.73,1.7,0.62,14.74
Enes Kanter,202683,2018-19,11.48,26.89,4.74,9.4,0.0,0.05,1.98,2.94,2.62,5.39,1.14,0.61,1.48,0.56,14.69
Tyreke Evans,201936,2018-19,15.37,33.09,5.57,13.12,1.53,4.21,2.7,3.32,0.6,2.99,4.21,1.17,1.82,0.34,14.68
Julius Randle,203944,2018-19,14.28,30.87,5.67,11.77,0.09,0.3,2.89,3.93,1.93,4.34,1.94,0.68,2.1,0.6,14.53
Otto Porter Jr.,203490,2018-19,14.23,30.47,5.35,11.78,1.55,4.06,1.92,2.42,0.82,3.91,2.36,1.24,1.51,0.4,14.52
Nikola Mirotic,202703,2018-19,14.87,32.65,5.7,12.49,1.72,4.65,1.77,2.25,1.16,3.89,1.76,0.88,1.4,0.56,14.45
Goran Dragic,201609,2018-19,16.35,32.28,6.09,13.58,1.33,3.51,2.88,3.48,0.73,2.69,3.83,0.81,2.05,0.15,14.42
Brandon Ingram,1627742,2018-19,16.19,32.67,6.1,13.58,0.86,2.45,3.13,3.97,0.96,3.23,3.09,0.86,2.04,0.45,14.41
Greg Monroe,202328,2018-19,9.93,24.3,3.99,7.79,0.07,0.24,1.89,2.55,2.23,4.91,1.76,0.76,1.44,0.58,14.27
Mike Conley,201144,2018-19,16.61,30.87,5.46,12.93,1.68,4.66,4.02,4.69,0.48,2.41,3.72,0.89,1.92,0.18,14.24
Kyle Lowry,200768,2018-19,13.74,33.14,4.91,12.0,1.56,4.31,2.39,2.96,0.69,2.97,5.22,1.05,2.04,0.17,14.14
Jonas Valanciunas,202685,2018-19,10.11,24.04,4.12,8.09,0.07,0.19,1.79,2.49,2.34,4.87,1.09,0.52,1.27,1.04,14.02
Gary Harris,203914,2018-19,15.93,32.68,5.97,14.02,1.71,4.42,2.27,2.89,0.95,3.25,2.67,1.21,1.67,0.3,13.98
Danilo Gallinari,201568,2018-19,15.26,31.8,5.45,12.7,1.28,3.98,3.06,3.54,0.66,3.97,2.08,0.66,1.43,0.46,13.94
Thaddeus Young,201152,2018-19,11.09,28.84,4.6,9.61,0.71,2.04,1.17,1.59,1.63,4.43,1.67,1.16,1.16,0.48,13.86
Ersan Ilyasova,101141,2018-19,11.72,28.11,4.25,9.63,1.33,3.7,1.9,2.47,1.46,4.76,1.68,0.76,1.16,0.46,13.74
Eric Gordon,201569,2018-19,15.74,31.98,5.47,12.04,2.07,5.27,2.71,3.17,0.52,2.33,2.43,0.89,1.5,0.21,13.59
